t 0.02, x 18.26352, y 0, z 9.848078, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.672407, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6764334, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6803117, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6844975, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6884043, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6924516, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6963627, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7004198, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7043986, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7083819, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.712409, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.716404, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7203782, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7243037, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7284493, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7324126, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7364192, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7404696, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7442401, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7484089, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7524236, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7564069, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7603873, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7642325, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7681841, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7724631, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7761934, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7803562, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7844281, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.788374, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7923942, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7964844, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
