t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
2.698867, 2021-06-08T10:44:46.5986830+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.726756, 2021-06-08T10:44:46.6265670+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.751229, 2021-06-08T10:44:46.6510630+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.782768, 2021-06-08T10:44:46.6825940+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.822788, 2021-06-08T10:44:46.7226730+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.851087, 2021-06-08T10:44:46.7509170+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.867199, 2021-06-08T10:44:46.7670100+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.905244, 2021-06-08T10:44:46.8053340+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.975127, 2021-06-08T10:44:46.8749950+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.986658, 2021-06-08T10:44:46.8865560+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
2.999352, 2021-06-08T10:44:46.8992820+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.010368, 2021-06-08T10:44:46.9101930+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.030803, 2021-06-08T10:44:46.9306420+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.063184, 2021-06-08T10:44:46.9630340+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.090986, 2021-06-08T10:44:46.9907980+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.115005, 2021-06-08T10:44:47.0148380+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.155709, 2021-06-08T10:44:47.0557820+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.183215, 2021-06-08T10:44:47.0830950+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.211839, 2021-06-08T10:44:47.1117210+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.226809, 2021-06-08T10:44:47.1266320+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.255091, 2021-06-08T10:44:47.1549180+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.282752, 2021-06-08T10:44:47.1825830+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.311272, 2021-06-08T10:44:47.2111100+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.338777, 2021-06-08T10:44:47.2386000+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.363207, 2021-06-08T10:44:47.2630790+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.391042, 2021-06-08T10:44:47.2909010+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.431239, 2021-06-08T10:44:47.3311070+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.464043, 2021-06-08T10:44:47.3639030+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.478683, 2021-06-08T10:44:47.3784660+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.51439, 2021-06-08T10:44:47.4144300+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.530628, 2021-06-08T10:44:47.4304450+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.559187, 2021-06-08T10:44:47.4590390+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.597442, 2021-06-08T10:44:47.4973390+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.612205, 2021-06-08T10:44:47.5120340+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.638749, 2021-06-08T10:44:47.5385850+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.671717, 2021-06-08T10:44:47.5716150+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.707055, 2021-06-08T10:44:47.6070470+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.722755, 2021-06-08T10:44:47.6225850+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.750886, 2021-06-08T10:44:47.6507430+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.779263, 2021-06-08T10:44:47.6791210+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.807485, 2021-06-08T10:44:47.7073340+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.845987, 2021-06-08T10:44:47.7458490+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.872298, 2021-06-08T10:44:47.7721900+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.910136, 2021-06-08T10:44:47.8099980+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.928771, 2021-06-08T10:44:47.8287730+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.957036, 2021-06-08T10:44:47.8569610+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
3.984139, 2021-06-08T10:44:47.8840940+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.012927, 2021-06-08T10:44:47.9128170+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.030851, 2021-06-08T10:44:47.9307080+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.068515, 2021-06-08T10:44:47.9684350+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.154529, 2021-06-08T10:44:48.0544510+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.168355, 2021-06-08T10:44:48.0682310+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.178417, 2021-06-08T10:44:48.0782330+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.191977, 2021-06-08T10:44:48.0918570+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.207093, 2021-06-08T10:44:48.1069780+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.227894, 2021-06-08T10:44:48.1278170+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.267689, 2021-06-08T10:44:48.1675890+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.295795, 2021-06-08T10:44:48.1957050+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.323456, 2021-06-08T10:44:48.2233520+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.352666, 2021-06-08T10:44:48.2526350+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.380338, 2021-06-08T10:44:48.2802350+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.39523, 2021-06-08T10:44:48.2950680+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.423477, 2021-06-08T10:44:48.3233450+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.461736, 2021-06-08T10:44:48.3616590+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.479002, 2021-06-08T10:44:48.3788420+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.516386, 2021-06-08T10:44:48.4162640+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.543818, 2021-06-08T10:44:48.4436870+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.563561, 2021-06-08T10:44:48.4634290+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.609375, 2021-06-08T10:44:48.5092880+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.638221, 2021-06-08T10:44:48.5381350+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.668201, 2021-06-08T10:44:48.5683000+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.768201, 2021-06-08T10:44:48.8227990+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.793584, 2021-06-08T10:44:48.8472730+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.810642, 2021-06-08T10:44:48.8644050+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.825542, 2021-06-08T10:44:48.8792370+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.839099, 2021-06-08T10:44:48.8928810+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.863152, 2021-06-08T10:44:48.9169300+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.886801, 2021-06-08T10:44:48.9407540+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.911895, 2021-06-08T10:44:48.9656040+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
4.949073, 2021-06-08T10:44:49.0029210+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
