t 0.8881068, x 12.10706, y -6.872227, z 48.02282, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8921828, x 12.02755, y -6.742546, z 48.06117, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8961716, x 12.02755, y -6.742546, z 48.06117, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9002707, x 12.02755, y -6.742546, z 48.06117, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9043865, x 11.98984, y -6.612821, z 48.08861, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9081404, x 11.98984, y -6.612821, z 48.08861, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9121503, x 11.99398, y -6.483047, z 48.10524, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9162704, x 11.99805, y -6.35323, z 48.12155, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9201314, x 11.99805, y -6.35323, z 48.12155, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9244784, x 11.95738, y -6.309948, z 48.13736, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9283186, x 11.91669, y -6.266661, z 48.15311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9322228, x 11.91669, y -6.266661, z 48.15311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9363182, x 11.91669, y -6.266661, z 48.15311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9402604, x 11.91669, y -6.266661, z 48.15311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9442343, x 11.91669, y -6.266661, z 48.15311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9484628, x 11.92314, y -6.050156, z 48.17919, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9521803, x 11.92314, y -6.050156, z 48.17919, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9561995, x 11.92314, y -6.050156, z 48.17919, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9603246, x 11.88484, y -5.920197, z 48.20479, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9642266, x 11.88484, y -5.920197, z 48.20479, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9681941, x 11.88484, y -5.920197, z 48.20479, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9723843, x 11.85118, y -5.616804, z 48.24936, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9763187, x 11.85118, y -5.616804, z 48.24936, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9802387, x 11.81478, y -5.399967, z 48.28304, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9843495, x 11.81478, y -5.399967, z 48.28304, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9882632, x 11.81478, y -5.399967, z 48.28304, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9924346, x 11.77918, y -5.139626, z 48.32013, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9961174, x 11.77918, y -5.139626, z 48.32013, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.000238, x 11.77918, y -5.139626, z 48.32013, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.004476, x 11.74319, y -4.879144, z 48.35588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.008353, x 11.74319, y -4.879144, z 48.35588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.012314, x 11.74319, y -4.879144, z 48.35588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.016219, x 11.70589, y -4.661974, z 48.38634, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.020288, x 11.70589, y -4.661974, z 48.38634, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.024247, x 11.70589, y -4.661974, z 48.38634, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.028316, x 11.66922, y -4.401251, z 48.41961, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.032121, x 11.66922, y -4.401251, z 48.41961, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.036323, x 11.67445, y -4.140409, z 48.44135, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.040284, x 11.67937, y -3.879453, z 48.46176, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.044152, x 11.67937, y -3.879453, z 48.46176, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.04826, x 11.64092, y -3.661908, z 48.48793, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.05224, x 11.64092, y -3.661908, z 48.48793, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.056115, x 11.64092, y -3.661908, z 48.48793, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.060268, x 11.51956, y -3.313694, z 48.54193, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.064144, x 11.51956, y -3.313694, z 48.54193, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.068186, x 11.51956, y -3.313694, z 48.54193, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.072329, x 11.2696, y -3.008872, z 48.6204, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.076272, x 11.2696, y -3.008872, z 48.6204, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.080338, x 11.2696, y -3.008872, z 48.6204, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.084219, x 10.9757, y -2.747508, z 48.70303, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.088165, x 10.9757, y -2.747508, z 48.70303, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.092168, x 10.80764, y -2.573222, z 48.75011, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.096421, x 10.63925, y -2.398905, z 48.79602, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.104189, x 10.38529, y -2.224559, z 48.85895, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.120882, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.124616, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.128469, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.132515, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.136331, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.140097, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.144439, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.148389, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.152406, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.156232, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.160339, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
