t 1.715025, stimulusOn True
t 1.719239, stimulusOn True
t 1.723142, stimulusOn True
t 1.72716, stimulusOn True
t 1.73155, stimulusOn True
t 1.735071, stimulusOn True
t 1.739281, stimulusOn True
t 1.743234, stimulusOn True
t 1.747178, stimulusOn True
t 1.751195, stimulusOn True
t 1.755032, stimulusOn True
t 1.759294, stimulusOn True
t 1.763199, stimulusOn True
t 1.767166, stimulusOn True
t 1.771229, stimulusOn True
t 1.775232, stimulusOn True
t 1.779247, stimulusOn True
t 1.783182, stimulusOn True
t 1.787086, stimulusOn True
t 1.791261, stimulusOn True
t 1.795095, stimulusOn True
t 1.799035, stimulusOn True
t 1.803251, stimulusOn True
t 1.807076, stimulusOn True
t 1.811221, stimulusOn True
t 1.815006, stimulusOn False
t 1.81924, stimulusOn False
t 1.823202, stimulusOn False
t 1.827136, stimulusOn False
t 1.831539, stimulusOn False
t 1.835024, stimulusOn False
t 1.839261, stimulusOn False
t 1.843236, stimulusOn False
t 1.847225, stimulusOn False
t 1.851153, stimulusOn False
t 1.854975, stimulusOn False
t 1.859286, stimulusOn False
t 1.863213, stimulusOn False
t 1.867177, stimulusOn False
t 1.871281, stimulusOn False
t 1.875229, stimulusOn False
t 1.879242, stimulusOn False
t 1.883166, stimulusOn False
t 1.887114, stimulusOn False
t 1.891542, stimulusOn True
t 1.895088, stimulusOn True
t 1.899267, stimulusOn True
t 1.903295, stimulusOn True
t 1.907128, stimulusOn True
t 1.911229, stimulusOn True
t 1.915165, stimulusOn True
t 1.919278, stimulusOn True
t 1.923114, stimulusOn True
t 1.927116, stimulusOn True
t 1.931523, stimulusOn True
t 1.934924, stimulusOn True
t 1.939299, stimulusOn True
t 1.943227, stimulusOn True
t 1.947238, stimulusOn True
t 1.951204, stimulusOn True
t 1.954969, stimulusOn True
t 1.959318, stimulusOn True
t 1.962945, stimulusOn True
t 1.967235, stimulusOn True
t 1.971167, stimulusOn True
t 1.975211, stimulusOn True
t 1.979222, stimulusOn True
t 1.983081, stimulusOn True
t 1.987146, stimulusOn True
t 1.991197, stimulusOn False
t 1.995272, stimulusOn False
t 1.998976, stimulusOn False
t 2.003063, stimulusOn False
t 2.007291, stimulusOn False
t 2.011235, stimulusOn False
t 2.015062, stimulusOn False
t 2.019237, stimulusOn False
t 2.025277, stimulusOn True
t 2.031236, stimulusOn True
t 2.034945, stimulusOn True
t 2.039181, stimulusOn True
t 2.043409, stimulusOn True
t 2.047053, stimulusOn True
t 2.051104, stimulusOn True
t 2.055089, stimulusOn True
t 2.059153, stimulusOn True
t 2.06328, stimulusOn True
t 2.067168, stimulusOn True
t 2.071268, stimulusOn True
t 2.07513, stimulusOn True
t 2.079254, stimulusOn True
t 2.083157, stimulusOn True
t 2.087098, stimulusOn True
t 2.091132, stimulusOn True
t 2.095227, stimulusOn True
t 2.09916, stimulusOn True
t 2.103161, stimulusOn True
t 2.10713, stimulusOn True
t 2.11125, stimulusOn True
t 2.114968, stimulusOn True
t 2.119271, stimulusOn True
t 2.123114, stimulusOn False
t 2.127068, stimulusOn False
t 2.131618, stimulusOn False
t 2.135007, stimulusOn False
t 2.139262, stimulusOn False
t 2.143201, stimulusOn False
t 2.147269, stimulusOn False
t 2.151144, stimulusOn False
t 2.155011, stimulusOn False
t 2.159266, stimulusOn False
t 2.163073, stimulusOn False
t 2.167103, stimulusOn False
t 2.171324, stimulusOn False
t 2.175154, stimulusOn False
t 2.179133, stimulusOn False
t 2.183212, stimulusOn False
t 2.187044, stimulusOn False
t 2.191096, stimulusOn False
t 2.195263, stimulusOn False
t 2.199179, stimulusOn False
t 2.203241, stimulusOn False
t 2.207198, stimulusOn False
t 2.211234, stimulusOn False
t 2.215042, stimulusOn False
t 2.219294, stimulusOn False
t 2.223145, stimulusOn False
t 2.227166, stimulusOn False
t 2.231585, stimulusOn False
t 2.235102, stimulusOn False
t 2.239078, stimulusOn False
t 2.243295, stimulusOn False
t 2.247227, stimulusOn False
t 2.251248, stimulusOn False
t 2.255054, stimulusOn False
t 2.25925, stimulusOn False
t 2.263099, stimulusOn False
t 2.267168, stimulusOn False
t 2.271069, stimulusOn False
t 2.275289, stimulusOn False
t 2.27923
