t 0.7506543, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7672262, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn False
t 0.7914245, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn False
t 0.8855389, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.906993, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9106862, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9149171, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9188334, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9228737, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9267778, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9350656, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9430548, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9547769, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9589311, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9628138, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9668384, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9711986, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9747158, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9789234, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9826974, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9869877, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.990759, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9948471, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9991348, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.019133, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.035314, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.038712, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.04294, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.04671, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.050904, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.054604, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.058957, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.062839, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.066846, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.071198, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.074751, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.078561, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.082838, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.086771, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.090843, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.094814, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.098727, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.102779, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.106788, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.110646, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.114868, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.118795, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.122809, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.126768, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.130624, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.134879, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.138774, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.142854, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.146818, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.150877, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.166859, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.171024, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.191346, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.194687, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.198813, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.202863, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.206781, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.210864, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.214795, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.218875, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.22279, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.226804, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.230779, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.234834, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.238795, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.242825, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.246865, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.250825, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.254606, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.258855, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.262768, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.266753, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.271421, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.274742, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.278898, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.282792, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.286852, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.290791, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.294854, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.2988, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.302929, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.322989, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.338999, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.342984, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.346978, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.350674, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.354676, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.358949, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.36282, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.36674, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.371225, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.374614, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.378985, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.382766, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.386859, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.3908, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.394821, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.398815, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.402864, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.406764, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.410876, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.414757, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.418859, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.422798, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.426783, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.430576, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.434842, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.438796, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.44277, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.446891, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.450781, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
