t 0.6145615, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.618495, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6224812, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6266202, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6306424, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6346122, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6390248, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6426706, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6465927, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6507053, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6547505, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6585717, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6626165, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6666343, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6706239, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6744868, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6786982, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.682557, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
