t, stimulusOn
1.050077, 2021-06-09T17:17:47.1433620+08:00, False
1.054255, 2021-06-09T17:17:47.1475380+08:00, False
1.058181, 2021-06-09T17:17:47.1514510+08:00, False
1.062152, 2021-06-09T17:17:47.1556480+08:00, False
1.066179, 2021-06-09T17:17:47.1594530+08:00, False
1.070258, 2021-06-09T17:17:47.1635510+08:00, False
1.074597, 2021-06-09T17:17:47.1678780+08:00, False
1.078482, 2021-06-09T17:17:47.1717680+08:00, False
1.082204, 2021-06-09T17:17:47.1756780+08:00, False
1.086142, 2021-06-09T17:17:47.1794160+08:00, False
1.090278, 2021-06-09T17:17:47.1835180+08:00, False
1.094111, 2021-06-09T17:17:47.1873900+08:00, False
1.098222, 2021-06-09T17:17:47.1915370+08:00, False
1.102162, 2021-06-09T17:17:47.1957160+08:00, False
1.106321, 2021-06-09T17:17:47.1996020+08:00, False
1.110235, 2021-06-09T17:17:47.2035120+08:00, False
1.114253, 2021-06-09T17:17:47.2075080+08:00, False
1.118177, 2021-06-09T17:17:47.2114550+08:00, False
1.122349, 2021-06-09T17:17:47.2159030+08:00, False
1.126114, 2021-06-09T17:17:47.2193680+08:00, False
1.130188, 2021-06-09T17:17:47.2234870+08:00, False
1.134211, 2021-06-09T17:17:47.2274630+08:00, False
1.138275, 2021-06-09T17:17:47.2315560+08:00, False
1.142081, 2021-06-09T17:17:47.2355740+08:00, False
1.146343, 2021-06-09T17:17:47.2396190+08:00, False
1.150125, 2021-06-09T17:17:47.2433880+08:00, False
1.154281, 2021-06-09T17:17:47.2475910+08:00, False
1.158563, 2021-06-09T17:17:47.2518400+08:00, False
1.162105, 2021-06-09T17:17:47.2556360+08:00, False
1.166135, 2021-06-09T17:17:47.2594420+08:00, False
1.170259, 2021-06-09T17:17:47.2635420+08:00, False
1.174856, 2021-06-09T17:17:47.2681620+08:00, False
1.18272, 2021-06-09T17:17:47.2762660+08:00, False
1.186061, 2021-06-09T17:17:47.2793360+08:00, False
1.190171, 2021-06-09T17:17:47.2834640+08:00, False
1.194186, 2021-06-09T17:17:47.2874710+08:00, False
1.198161, 2021-06-09T17:17:47.2914260+08:00, False
1.206494, 2021-06-09T17:17:47.3001020+08:00, False
1.210099, 2021-06-09T17:17:47.3033820+08:00, False
1.21445, 2021-06-09T17:17:47.3077370+08:00, False
1.218123, 2021-06-09T17:17:47.3114040+08:00, False
1.222296, 2021-06-09T17:17:47.3159050+08:00, False
1.226601, 2021-06-09T17:17:47.3199060+08:00, False
1.23032, 2021-06-09T17:17:47.3236140+08:00, False
1.238307, 2021-06-09T17:17:47.3375940+08:00, False
1.250623, 2021-06-09T17:17:47.3442220+08:00, False
1.254234, 2021-06-09T17:17:47.3474890+08:00, False
1.258955, 2021-06-09T17:17:47.3522070+08:00, False
1.262201, 2021-06-09T17:17:47.3557440+08:00, False
1.266178, 2021-06-09T17:17:47.3594640+08:00, False
1.270223, 2021-06-09T17:17:47.3635090+08:00, False
1.274966, 2021-06-09T17:17:47.3684080+08:00, False
1.282445, 2021-06-09T17:17:47.3759890+08:00, False
1.286192, 2021-06-09T17:17:47.3794440+08:00, False
1.290197, 2021-06-09T17:17:47.3834930+08:00, False
1.294394, 2021-06-09T17:17:47.3876810+08:00, False
1.298103, 2021-06-09T17:17:47.3913880+08:00, False
1.30239, 2021-06-09T17:17:47.3959600+08:00, False
1.306555, 2021-06-09T17:17:47.3998460+08:00, False
1.31009, 2021-06-09T17:17:47.4033510+08:00, False
1.314329, 2021-06-09T17:17:47.4076160+08:00, False
1.318136, 2021-06-09T17:17:47.4114210+08:00, False
1.322167, 2021-06-09T17:17:47.4157430+08:00, False
1.327048, 2021-06-09T17:17:47.4203070+08:00, False
1.33023, 2021-06-09T17:17:47.4235290+08:00, False
1.33423, 2021-06-09T17:17:47.4275520+08:00, False
1.338176, 2021-06-09T17:17:47.4314660+08:00, False
1.342114, 2021-06-09T17:17:47.4356630+08:00, False
1.346314, 2021-06-09T17:17:47.4396160+08:00, False
1.350615, 2021-06-09T17:17:47.4439270+08:00, False
1.354223, 2021-06-09T17:17:47.4475080+08:00, False
1.358212, 2021-06-09T17:17:47.4514990+08:00, False
1.362223, 2021-06-09T17:17:47.4558420+08:00, False
1.366107, 2021-06-09T17:17:47.4593960+08:00, False
1.370163, 2021-06-09T17:17:47.4634490+08:00, False
1.374326, 2021-06-09T17:17:47.4675910+08:00, False
1.378171, 2021-06-09T17:17:47.4715030+08:00, False
1.382824, 2021-06-09T17:17:47.4770970+08:00, False
1.390706, 2021-06-09T17:17:47.4839970+08:00, False
1.394348, 2021-06-09T17:17:47.4876020+08:00, False
1.398133, 2021-06-09T17:17:47.4914160+08:00, False
1.402448, 2021-06-09T17:17:47.4962530+08:00, False
1.410469, 2021-06-09T17:17:47.5037420+08:00, False
1.414611, 2021-06-09T17:17:47.5079400+08:00, False
1.418236, 2021-06-09T17:17:47.5114990+08:00, False
1.42218, 2021-06-09T17:17:47.5157820+08:00, False
1.426744, 2021-06-09T17:17:47.5200410+08:00, False
1.434707, 2021-06-09T17:17:47.5279970+08:00, False
1.43816, 2021-06-09T17:17:47.5314610+08:00, False
1.44213, 2021-06-09T17:17:47.5356860+08:00, False
1.446122, 2021-06-09T17:17:47.5394120+08:00, False
1.450355, 2021-06-09T17:17:47.5436490+08:00, False
1.454193, 2021-06-09T17:17:47.5474500+08:00, False
1.458294, 2021-06-09T17:17:47.5517290+08:00, False
1.462264, 2021-06-09T17:17:47.5558070+08:00, False
1.466187, 2021-06-09T17:17:47.5594870+08:00, False
1.470267, 2021-06-09T17:17:47.5635640+08:00, False
1.474368, 2021-06-09T17:17:47.5676300+08:00, False
1.478288, 2021-06-09T17:17:47.5715810+08:00, False
1.482655, 2021-06-09T17:17:47.5762150+08:00, False
1.486317, 2021-06-09T17:17:47.5796030+08:00, False
1.490119, 2021-06-09T17:17:47.5834250+08:00, False
1.494242, 2021-06-09T17:17:47.5875420+08:00, False
1.498142, 2021-06-09T17:17:47.5914330+08:00, False
1.502185, 2021-06-09T17:17:47.5956970+08:00, False
1.506458, 2021-06-09T17:17:47.5997260+08:00, False
1.510173, 2021-06-09T17:17:47.6034870+08:00, False
1.514229, 2021-06-09T17:17:47.6075210+08:00, False
1.518366, 2021-06-09T17:17:47.6116490+08:00, False
1.522236, 2021-06-09T17:17:47.6157770+08:00, False
1.526101, 2021-06-09T17:17:47.6194210+08:00, False
1.530255, 2021-06-09T17:17:47.6235180+08:00, False
1.534146, 2021-06-09T17:17:47.6274090+08:00, False
1.538601, 2021-06-09T17:17:47.6319280+08:00, False
1.542081, 2021-06-09T17:17:47.6356230+08:00, False
1.546143, 2021-06-09T17:17:47.6394470+08:00, False
1.550497, 2021-06-09T17:17:47.6438010+08:00, False
1.554206, 2021-06-09T17:17:47.6474790+08:00, False
1.558142, 2021-06-09T17:17:47.6514620+08:00, False
1.562189, 2021-06-09T17:17:47.6557660+08:00, False
1.566123, 2021-06-09T17:17:47.6594220+08:00, False
1.570191, 2021-06-09T17:17:47.6634870+08:00, False
1.574646, 2021-06-09T17:17:47.6679390+08:00, False
1.578139, 2021-06-09T17:17:47.6714420+08:00, False
1.582207, 2021-06-09T17:17:47.6761090+08:00, False
1.586568, 2021-06-09T17:17:47.6798910+08:00, False
1.59032, 2021-06-09T17:17:47.6835970+08:00, False
1.595042, 2021-06-09T17:17:47.6883540+08:00, False
1.602522, 2021-06-09T17:17:47.6960560+08:00, False
1.613474, 2021-06-09T17:17:47.7068330+08:00, False
1.618289, 2021-06-09T17:17:47.7116120+08:00, False
1.641073, 2021-06-09T17:17:47.7349270+08:00, False
1.646353, 2021-06-09T17:17:47.7396270+08:00, False
1.650271, 2021-06-09T17:17:47.7435750+08:00, False
1.654273, 2021-06-09T17:17:47.7475700+08:00, False
1.658205, 2021-06-09T17:17:47.7515130+08:00, False
1.662368, 2021-06-09T17:17:47.7559170+08:00, False
1.666407, 2021-06-09T17:17:47.7597050+08:00, False
1.670255, 2021-06-09T17:17:47.7635580+08:00, False
1.674867, 2021-06-09T17:17:47.7681750+08:00, False
1.67815, 2021-06-09T17:17:47.7714990+08:00, False
1.682209, 2021-06-09T17:17:47.7759520+08:00, False
1.687221, 2021-06-09T17:17:47.7807280+08:00, False
1.694249, 2021-06-09T17:17:47.7876000+08:00, False
1.698207, 2021-06-09T17:17:47.7914830+08:00, False
1.702215, 2021-06-09T17:17:47.7957780+08:00, False
1.706974, 2021-06-09T17:17:47.8003990+08:00, False
1.714484, 2021-06-09T17:17:47.8077760+08:00, False
1.718693, 2021-06-09T17:17:47.8119980+08:00, False
1.722961, 2021-06-09T17:17:47.8165620+08:00, False
1.730707, 2021-06-09T17:17:47.8240150+08:00, False
1.734076, 2021-06-09T17:17:47.8273690+08:00, False
1.738146, 2021-06-09T17:17:47.8314360+08:00, False
1.746574, 2021-06-09T17:17:47.8401830+08:00, False
1.750106, 2021-06-09T17:17:47.8434110+08:00, False
1.759995, 2021-06-09T17:17:47.8533860+08:00, False
1.766627, 2021-06-09T17:17:47.8601930+08:00, False
1.775546, 2021-06-09T17:17:47.8688280+08:00, False
1.782438, 2021-06-09T17:17:47.8759710+08:00, False
1.786263, 2021-06-09T17:17:47.8794880+08:00, False
1.790161, 2021-06-09T17:17:47.8834080+08:00, False
1.794235, 2021-06-09T17:17:47.8875070+08:00, False
1.798414, 2021-06-09T17:17:47.8916560+08:00, False
1.802202, 2021-06-09T17:17:47.8957060+08:00, False
1.806621, 2021-06-09T17:17:47.8998540+08:00, False
1.814254, 2021-06-09T17:17:47.9074910+08:00, False
