t 24.27972, x -18.10346, y 5.226415, z 46.3136, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.28403, x -18.0226, y 5.226415, z 46.34512, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.28782, x -18.0226, y 5.226415, z 46.34512, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.29178, x -17.82021, y 5.226415, z 46.42332, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.29593, x -17.82021, y 5.226415, z 46.42332, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.29999, x -17.82021, y 5.226415, z 46.42332, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.30396, x -17.77969, y 5.226415, z 46.43885, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.3079, x -17.77969, y 5.226415, z 46.43885, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.31191, x -17.77969, y 5.226415, z 46.43885, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.31576, x -17.69861, y 5.226415, z 46.46981, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.3199, x -17.69861, y 5.226415, z 46.46981, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.32392, x -17.69861, y 5.226415, z 46.46981, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.32792, x -17.49568, y 5.226415, z 46.5466, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.33189, x -17.49568, y 5.226415, z 46.5466, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.33579, x -17.49568, y 5.226415, z 46.5466, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.33999, x -17.25172, y 5.226415, z 46.63757, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.34388, x -17.25172, y 5.226415, z 46.63757, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.34787, x -17.1703, y 5.226415, z 46.66761, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.35188, x -17.1703, y 5.226415, z 46.66761, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.35572, x -17.1703, y 5.226415, z 46.66761, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.35981, x -16.8849, y 5.226415, z 46.77162, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.3637, x -16.8849, y 5.226415, z 46.77162, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.36771, x -16.8849, y 5.226415, z 46.77162, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.37199, x -16.80325, y 5.226415, z 46.80102, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.37592, x -16.80325, y 5.226415, z 46.80102, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.37997, x -16.80325, y 5.226415, z 46.80102, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.38383, x -16.72, y 5.269808, z 46.82596, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.38767, x -16.72, y 5.269808, z 46.82596, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.39197, x -16.72, y 5.269808, z 46.82596, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.39599, x -16.43365, y 5.269807, z 46.92723, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.39987, x -16.43365, y 5.269807, z 46.92723, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.40384, x -16.31073, y 5.269808, z 46.97009, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.40781, x -16.18771, y 5.269807, z 47.01263, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.41208, x -16.18771, y 5.269807, z 47.01263, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.41573, x -15.94133, y 5.269808, z 47.09674, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.4199, x -15.94133, y 5.269808, z 47.09674, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.42394, x -15.94133, y 5.269808, z 47.09674, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.4279, x -15.81798, y 5.269808, z 47.13831, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.4319, x -15.81798, y 5.269808, z 47.13831, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.43591, x -15.81798, y 5.269808, z 47.13831, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.4401, x -15.69452, y 5.269807, z 47.17957, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.44387, x -15.69452, y 5.269807, z 47.17957, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.44781, x -15.69452, y 5.269807, z 47.17957, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.45194, x -15.32349, y 5.269807, z 47.30137, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.45589, x -15.32349, y 5.269807, z 47.30137, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.45981, x -15.1996, y 5.269807, z 47.34133, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.46384, x -15.07561, y 5.269807, z 47.38095, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.46766, x -15.07561, y 5.269807, z 47.38095, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.47198, x -14.70302, y 5.269807, z 47.4979, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.47592, x -14.70302, y 5.269807, z 47.4979, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.47993, x -14.70302, y 5.269807, z 47.4979, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.48384, x -14.57727, y 5.313196, z 47.53181, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.48772, x -14.57727, y 5.313196, z 47.53181, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.49205, x -14.57727, y 5.313196, z 47.53181, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.49595, x -14.45278, y 5.313195, z 47.56981, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.49989, x -14.45278, y 5.313195, z 47.56981, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.50379, x -14.45278, y 5.313195, z 47.56981, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.50798, x -14.28664, y 5.313196, z 47.61997, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.512, x -14.28664, y 5.313196, z 47.61997, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.51569, x -14.28664, y 5.313196, z 47.61997, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.51977, x -13.95254, y 5.35658, z 47.71408, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.52396, x -13.95254, y 5.35658, z 47.71408, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.52818, x -13.9109, y 5.356579, z 47.72624, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.53191, x -13.9109, y 5.356579, z 47.72624, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.53588, x -13.9109, y 5.356579, z 47.72624, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
