t 0.02, x 0, y -0.08726642, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4041742, x 22.01585, y -27.37816, z 35.57722, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4099792, x 22.01585, y -27.37816, z 35.57722, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4140478, x 22.42004, y -27.63322, z 35.12474, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4178605, x 22.42004, y -27.63322, z 35.12474, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4219497, x 22.42004, y -27.63322, z 35.12474, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4260878, x 22.53382, y -27.74222, z 34.96564, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4301036, x 22.53382, y -27.74222, z 34.96564, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4342524, x 22.73753, y -27.85103, z 34.74658, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4381564, x 22.93912, y -27.95965, z 34.52615, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.442088, x 22.93912, y -27.95965, z 34.52615, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4461045, x 23.09495, y -28.10417, z 34.30421, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4499573, x 23.09495, y -28.10417, z 34.30421, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.454184, x 23.09495, y -28.10417, z 34.30421, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4579892, x 23.18699, y -28.1763, z 34.18274, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4622597, x 23.18699, y -28.1763, z 34.18274, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4662556, x 23.18699, y -28.1763, z 34.18274, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4700331, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4740842, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4781928, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.482092, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.486147, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4899964, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4940277, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4981967, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5022162, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5060727, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5101818, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5141134, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5181639, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.522173, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5260782, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5301797, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5341684, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5381527, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5420281, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5461857, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5501099, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5542207, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5581015, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5621647, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5661443, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5707414, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5739688, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5781848, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5820357, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5861904, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5899234, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5941135, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5981001, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6020121, x 23.20298, y -28.21234, z 34.14214, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6059046, x 23.0595, y -27.95964, z 34.44587, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.610189, x 23.0595, y -27.95964, z 34.44587, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6140195, x 22.84344, y -27.56046, z 34.90843, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6181443, x 22.61813, y -27.15872, z 35.36699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6219368, x 22.61813, y -27.15872, z 35.36699, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.626166, x 22.25169, y -26.68073, z 35.95832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6301805, x 22.25169, y -26.68073, z 35.95832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6341612, x 22.25169, y -26.68073, z 35.95832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.638002, x 21.92611, y -26.42192, z 36.34732, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6419107, x 21.92611, y -26.42192, z 36.34732, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6460395, x 21.92611, y -26.42192, z 36.34732, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6500921, x 21.04978, y -25.82667, z 37.28123, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6541651, x 21.04978, y -25.82667, z 37.28123, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6580942, x 21.04978, y -25.82667, z 37.28123, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6621745, x 20.25871, y -25.37691, z 38.021, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6661926, x 20.25871, y -25.37691, z 38.021, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6699533, x 20.25871, y -25.37691, z 38.021, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6753261, x 19.03915, y -24.77294, z 39.03604, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6779632, x 19.03915, y -24.77294, z 39.03604, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6822252, x 17.55823, y -24.01117, z 40.1892, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6860881, x 17.55823, y -24.01117, z 40.1892, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6899529, x 17.55823, y -24.01117, z 40.1892, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6941298, x 17.04388, y -23.78121, z 40.54578, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6981105, x 17.04388, y -23.78121, z 40.54578, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.702012, x 17.04388, y -23.78121, z 40.54578, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7061324, x 15.00717, y -22.97124, z 41.79841, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.710131, x 15.00717, y -22.97124, z 41.79841, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7143214, x 15.00717, y -22.97124, z 41.79841, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7182087, x 13.08836, y -22.27084, z 42.8101, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7221641, x 13.08836, y -22.27084, z 42.8101, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7260222, x 13.08836, y -22.27084, z 42.8101, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7302114, x 10.54834, y -21.40734, z 43.93698, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7338836, x 10.54834, y -21.40734, z 43.93698, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.739071, x 8.975061, y -20.93299, z 44.51133, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7419657, x 7.372996, y -20.45635, z 45.02418, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7461649, x 7.372996, y -20.45635, z 45.02418, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7502005, x 6.519957, y -20.25708, z 45.24534, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7885867, x 5.661031, y -20.05743, z 45.44945, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7941588, x 3.256618, y -19.33555, z 45.9949, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7982951, x 2.818036, y -19.21477, z 46.07441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8021549, x 2.818036, y -19.21477, z 46.07441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8059674, x 2.619815, y -19.09385, z 46.13633, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8101104, x 2.619815, y -19.09385, z 46.13633, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8141966, x 2.619815, y -19.09385, z 46.13633, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8182692, x 2.459639, y -19.05352, z 46.16182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8219973, x 2.459639, y -19.05352, z 46.16182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.826177, x 2.459639, y -19.05352, z 46.16182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.830135, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8341754, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8381913, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.842095, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8461792, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8501735, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8541871, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8581165, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8662252, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8820861, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8862183, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8901442, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8940496, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8982731, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9021183, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.905908, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9102738, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9141991, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9181637, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9221485, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9260877, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.930196, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9342227, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9382575, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9420496, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9461725, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9501721, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9541362, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.958038, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9621916, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9661803, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9699203, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9740205, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9781365, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9821054, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9861792, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9900912, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9940438, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9981191, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.002218, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.005974, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.010261, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.014217, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.018157, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.022169, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.026009, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.030208, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.034164, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.03816, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.043127, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.046034, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.050207, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.054208, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.058186, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.062218, x 2.379922, y -19.01318, z 46.18263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.066289, x 3.016848, y -19.29531, z 46.02814, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.07016, x 3.016848, y -19.29531, z 46.02814, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.074193, x 3.016848, y -19.29531, z 46.02814, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.078195, x 3.532322, y -19.49639, z 45.90657, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.082161, x 3.532322, y -19.49639, z 45.90657, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.085972, x 3.532322, y -19.49639, z 45.90657, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.089907, x 4.671771, y -19.97746, z 45.59688, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.093951, x 4.671771, y -19.97746, z 45.59688, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.098008, x 5.987528, y -20.57572, z 45.17509, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.102247, x 7.281149, y -21.17045, z 44.7079, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.106011, x 7.281149, y -21.17045, z 44.7079, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.111024, x 9.756948, y -22.34894, z 43.65005, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.118025, x 9.756948, y -22.34894, z 43.65005, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.122612, x 11.61753, y -23.43505, z 42.61258, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.12607, x 11.61753, y -23.43505, z 42.61258, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.130144, x 11.61753, y -23.43505, z 42.61258, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.134226, x 12.7311, y -24.12592, z 41.90297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.138152, x 12.7311, y -24.12592, z 41.90297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.14206, x 12.7311, y -24.12592, z 41.90297, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.146222, x 14.60082, y -25.33932, z 40.55534, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.15017, x 14.60082, y -25.33932, z 40.55534, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.153916, x 16.85012, y -27.12208, z 38.47683, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.158004, x 18.85415, y -28.85726, z 36.21849, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.162267, x 18.85415, y -28.85726, z 36.21849, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.166222, x 20.10496, y -29.88126, z 34.68286, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.170197, x 20.10496, y -29.88126, z 34.68286, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.173918, x 20.10496, y -29.88126, z 34.68286, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.17867, x 21.56904, y -31.12574, z 32.64912, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.181895, x 21.56904, y -31.12574, z 32.64912, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.18617, x 21.56904, y -31.12574, z 32.64912, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.190797, x 21.99346, y -31.49992, z 32.00067, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.194038, x 21.99346, y -31.49992, z 32.00067, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.198087, x 21.99346, y -31.49992, z 32.00067, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.202117, x 22.80607, y -32.039, z 30.87695, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.205961, x 22.80607, y -32.039, z 30.87695, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.210232, x 23.29328, y -32.3395, z 30.19239, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.214103, x 23.76041, y -32.63799, z 29.49923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.218172, x 23.76041, y -32.63799, z 29.49923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.222161, x 24.06059, y -32.83587, z 29.03263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.226117, x 24.06059, y -32.83587, z 29.03263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.230237, x 24.06059, y -32.83587, z 29.03263, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.234098, x 24.33912, y -32.9673, z 28.64899, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.238201, x 24.33912, y -32.9673, z 28.64899, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.242029, x 24.33912, y -32.9673, z 28.64899, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.246132, x 24.58114, y -33.0656, z 28.32726, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.250149, x 24.58114, y -33.0656, z 28.32726, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.254221, x 24.58114, y -33.0656, z 28.32726, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.257971, x 24.84853, y -33.19632, z 27.93842, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.262231, x 24.84853, y -33.19632, z 27.93842, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.266103, x 25.22974, y -33.32663, z 27.43713, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.270165, x 25.60087, y -33.45654, z 26.93057, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.273903, x 25.60087, y -33.45654, z 26.93057, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.278114, x 25.77677, y -33.58604, z 26.59956, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.281922, x 25.94836, y -33.71513, z 26.26733, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.285949, x 25.94836, y -33.71513, z 26.26733, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
