t 0.7156038, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7196487, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7238897, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7274901, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.731683, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7356411, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7395512, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7437198, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7476151, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7516543, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7555891, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.759576, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7635978, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7674648, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7713813, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7756153, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7796542, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.783664, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7880028, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7914156, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.795679, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7996413, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8036095, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8073696, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8115466, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8156607, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8195908, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8236405, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8276241, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8315801, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8355728, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.839583, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8435396, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8476208, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8516803, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8556612, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8595759, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8636494, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8675382, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8714217, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8754417, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8796083, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8836791, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8876101, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8917252, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8954425, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
