t 0.02, x 18.21198, y 0, z 9.83885, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4980876, x 16.24713, y -0.2617695, z 9.26539, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5020866, x 16.23905, y -0.2617695, z 9.262112, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5061123, x 16.23905, y -0.2617695, z 9.262112, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5102487, x 16.23097, y -0.2617695, z 9.258826, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5141461, x 16.23097, y -0.2617695, z 9.258826, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5181219, x 16.23097, y -0.2617695, z 9.258826, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5222046, x 16.22289, y -0.2617695, z 9.255533, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5260975, x 16.22289, y -0.2617695, z 9.255533, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5300515, x 16.19876, y -0.270493, z 9.245399, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5341145, x 16.17466, y -0.2792164, z 9.235194, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5380223, x 16.17466, y -0.2792164, z 9.235194, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5420841, x 16.15855, y -0.2792164, z 9.228503, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5624497, x 16.15855, y -0.2792164, z 9.228503, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5702443, x 16.04639, y -0.3053851, z 9.180181, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5740029, x 16.04639, y -0.3053851, z 9.180181, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5782943, x 16.03838, y -0.3053851, z 9.176727, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.581897, x 16.03838, y -0.3053851, z 9.176727, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5860302, x 16.03838, y -0.3053851, z 9.176727, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5900437, x 15.98262, y -0.3228298, z 9.151854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5940815, x 15.98262, y -0.3228298, z 9.151854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.59826, x 15.95081, y -0.3315518, z 9.137513, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6020016, x 15.95081, y -0.3315518, z 9.137513, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6060826, x 15.95081, y -0.3315518, z 9.137513, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6102194, x 15.91906, y -0.3402735, z 9.123055, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6140428, x 15.91906, y -0.3402735, z 9.123055, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6180727, x 15.91906, y -0.3402735, z 9.123055, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6220056, x 15.91906, y -0.3402735, z 9.123055, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6260154, x 15.91906, y -0.3402735, z 9.123055, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.630144, x 15.91906, y -0.3402735, z 9.123055, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6340809, x 15.89531, y -0.3489949, z 9.112066, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6379662, x 15.89531, y -0.3489949, z 9.112066, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6419983, x 15.89531, y -0.3489949, z 9.112066, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6460971, x 15.88749, y -0.3577161, z 9.1082, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6500822, x 15.88749, y -0.3577161, z 9.1082, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6540133, x 15.87955, y -0.3577161, z 9.104608, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6579279, x 15.87955, y -0.3577161, z 9.104608, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6621249, x 15.87955, y -0.3577161, z 9.104608, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.66609, x 15.85599, y -0.3751577, z 9.093207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6700646, x 15.85599, y -0.3751577, z 9.093207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6739818, x 15.85599, y -0.3751577, z 9.093207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6782593, x 15.84026, y -0.383878, z 9.08566, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6818457, x 15.84026, y -0.383878, z 9.08566, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6861513, x 15.84026, y -0.383878, z 9.08566, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7066652, x 15.80095, y -0.4013179, z 9.066801, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7145157, x 15.79318, y -0.4100373, z 9.062813, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7180012, x 15.79318, y -0.4100373, z 9.062813, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7219312, x 15.78543, y -0.4187564, z 9.05881, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7261304, x 15.77768, y -0.4274753, z 9.054794, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7300833, x 15.77768, y -0.4274753, z 9.054794, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7340317, x 15.76978, y -0.4274752, z 9.051106, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7379371, x 15.76978, y -0.4274752, z 9.051106, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7421613, x 15.76978, y -0.4274752, z 9.051106, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7460117, x 15.76204, y -0.4361937, z 9.04707, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7499287, x 15.76204, y -0.4361937, z 9.04707, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7541305, x 15.76204, y -0.4361937, z 9.04707, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7580449, x 15.76204, y -0.4361937, z 9.04707, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7621385, x 15.76204, y -0.4361937, z 9.04707, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7659036, x 15.76204, y -0.4361937, z 9.04707, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7700682, x 15.75432, y -0.4449119, z 9.04302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7739582, x 15.75432, y -0.4449119, z 9.04302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7782337, x 15.75432, y -0.4449119, z 9.04302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7818132, x 15.75432, y -0.4449119, z 9.04302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7861341, x 15.75432, y -0.4449119, z 9.04302, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7900538, x 15.74643, y -0.4449119, z 9.039311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7940675, x 15.74643, y -0.4449119, z 9.039311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7980695, x 15.74643, y -0.4449119, z 9.039311, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.802034, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8060261, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.810134, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8141274, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8180465, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.821968, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8261687, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8301517, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8500458, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8579732, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8662438, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8698792, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.87411, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8781118, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8818597, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8860688, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8901384, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8940716, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8980687, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9020416, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9059995, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.910139, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9140401, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9180496, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9220979, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.926077, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9299349, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9341044, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9379119, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9421052, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9459934, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9500748, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9540969, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9580162, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9621038, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9659433, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9699075, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9739215, x 15.73871, y -0.4536297, z 9.035241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.073922, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.099939, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.107835, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.115861, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.123799, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.132275, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.140212, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.14768, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.155568, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.159579, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.167914, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.176001, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.183499, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.191719, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.195728, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.203856, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.211513, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.214929, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.218894, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.222978, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.227177, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.231135, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.235116, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.23909, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.243146, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.247147, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.25108, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.255095, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.259083, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.263068, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.266986, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.271164, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.287521, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.290907, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.295215, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.299012, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.302877, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.307045, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.310999, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.314894, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.318953, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.323125, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.327113, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.331023, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.335106, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.339074, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.343087, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.347039, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.351023, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.355023, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.359112, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.36309, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.366961, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.37109, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.375103, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.379097, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.383188, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.386878, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.391102, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.395059, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.398903, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.4029, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.407178, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.427309, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.430923, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.435261, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.439113, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.443137, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.447014, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.451156, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.455056, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.459116, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.462998, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.467065, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.471055, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.475061, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.47907, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.48304, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.486866, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.491123, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.49505, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.498941, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.502882, x 15.7657, y -0.6017746, z 9.039277, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
