t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.0922, x -1.778287, y -5.356588, z 49.68042, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.096179, x -1.778287, y -5.356588, z 49.68042, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.100298, x -1.821981, y -5.269816, z 49.68812, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.104108, x -1.865683, y -5.183028, z 49.69563, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.108363, x -1.909394, y -5.096223, z 49.70295, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.112203, x -1.953114, y -5.009404, z 49.71007, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.116322, x -1.953285, y -4.965988, z 49.71442, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.120148, x -1.953285, y -4.965988, z 49.71442, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.124375, x -1.953622, y -4.879146, z 49.72301, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.128181, x -1.953953, y -4.792288, z 49.73144, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.132351, x -1.997684, y -4.705417, z 49.738, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.136461, x -2.041421, y -4.61853, z 49.74437, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.140325, x -2.041749, y -4.53163, z 49.75234, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.144114, x -2.04207, y -4.444716, z 49.76017, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.148395, x -2.042385, y -4.357789, z 49.76785, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.152066, x -2.042694, y -4.270847, z 49.77537, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.156371, x -2.042694, y -4.270847, z 49.77537, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.160104, x -2.042845, y -4.227372, z 49.77907, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.164345, x -2.042845, y -4.227372, z 49.77907, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.168073, x -2.086591, y -4.140411, z 49.78457, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.172095, x -2.086741, y -4.096926, z 49.78816, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.176254, x -2.08689, y -4.053438, z 49.79171, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.180318, x -2.08689, y -4.053438, z 49.79171, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.184224, x -2.087038, y -4.009947, z 49.79523, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.188097, x -2.087038, y -4.009947, z 49.79523, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.192323, x -2.13064, y -3.966453, z 49.79686, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.196411, x -2.13064, y -3.966453, z 49.79686, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.200188, x -2.130788, y -3.922956, z 49.8003, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.204255, x -2.130788, y -3.922956, z 49.8003, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.208264, x -2.174541, y -3.835951, z 49.80519, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.212159, x -2.174541, y -3.835951, z 49.80519, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.216281, x -2.174541, y -3.835951, z 49.80519, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.220182, x -2.174541, y -3.835951, z 49.80519, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
