t, stimulusOn
5.020307, True
5.027835, True
5.031777, True
5.037426, True
5.044207, True
5.049197, False
5.055849, False
5.0611, False
5.068168, False
5.075934, False
5.080616, False
5.086738, False
5.092654, False
5.098607, False
5.105018, False
5.112282, False
5.117444, False
5.124227, False
5.129858, False
5.136444, False
5.142389, False
5.148149, False
5.154219, False
5.160167, False
5.181602, False
5.187858, False
5.192299, False
5.195776, False
5.19987, False
5.203869, False
5.207778, False
5.211906, False
5.216198, False
5.221814, False
5.229158, False
5.235911, False
5.240599, False
5.248209, True
5.256199, True
5.260287, True
5.268072, True
5.272178, True
5.280185, True
5.284837, True
5.291855, True
5.297991, True
5.303917, True
5.309735, True
5.316274, True
5.321431, True
5.328173, True
5.334267, True
5.340746, True
5.346269, False
5.352456, False
5.358341, False
5.364762, False
5.372247, False
5.377686, False
5.384169, False
5.389645, False
5.396008, False
5.402087, False
5.40787, False
5.414242, False
5.421079, False
5.427921, False
5.436076, False
5.443853, False
5.447863, False
5.452594, False
5.457953, False
5.464773, False
5.472166, False
5.477194, False
5.484079, False
5.489435, False
5.499727, False
5.508046, False
5.515986, False
5.519775, False
5.528651, False
5.536682, False
5.544123, False
5.552385, False
5.560943, False
5.570334, False
5.575903, False
5.579865, False
5.583741, False
5.587836, False
5.59303, False
5.600187, False
5.603764, False
5.607811, False
5.611814, False
5.616056, False
5.620414, False
5.628237, False
5.633784, False
5.640401, False
5.645954, False
5.652151, False
5.657705, False
5.668178, False
5.676071, False
5.679774, False
5.683827, False
5.690524, True
5.699964, True
5.712521, True
5.720095, True
5.728071, True
5.732036, True
5.7359, True
5.739809, True
5.743828, True
5.747874, True
5.75179, True
5.755769, True
5.762483, True
5.768512, True
5.776258, True
5.781671, True
5.78802, True
5.793325, False
5.799776, False
5.805007, False
5.812388, False
5.820138, False
5.827911, False
5.831897, False
5.836991, False
5.843893, False
5.848675, False
5.854702, False
5.860521, False
5.86824, False
5.873912, False
5.880192, False
5.885347, False
5.89201, False
5.898317, False
5.904063, False
5.909985, False
5.916173, False
5.924591, False
5.93209, False
5.936093, False
5.943679, False
5.947905, False
5.953405, False
5.959981, False
5.967952, False
5.977347, False
5.984102, False
5.98786, False
5.991807, False
5.996452, False
6.00283, False
6.009565, False
6.01617, False
6.024459, False
6.031863, False
6.035921, False
6.043468, False
6.047757, False
6.052553, False
6.058369, False
6.065669, False
6.072374, False
6.079831, False
6.084698, False
6.090013, False
6.097241, False
6.102734, False
6.109671, False
6.115981, False
6.121881, False
6.127726, False
6.133688, False
6.139941, False
6.145185, False
6.15211, False
6.155984, False
6.162946, False
6.168348, False
6.17457, False
6.181042, False
6.186099, False
6.191821, False
6.198344, False
6.20378, False
6.208951, False
6.216209, False
6.221099, False
6.228135, False
6.234081, True
6.239982, True
6.245573, True
6.251928, True
6.256227, True
6.263311, True
6.268807, True
6.275919, True
6.281408, True
6.285723, True
6.291823, True
6.296897, True
6.303746, True
6.308911, True
6.316341, True
6.323887, True
6.33228, True
6.335656, False
6.352137, False
6.355777, False
6.359737, False
6.363776, False
6.368286, False
6.371866, False
6.376016, False
6.379933, False
6.384912, False
6.390258, False
6.396465, False
6.401996, False
6.407819, False
6.413964, False
6.42024, False
6.428076, False
6.432749, False
6.437769, False
6.44383, True
6.449209, True
6.455791, True
6.460437, True
6.468196, True
6.476014, True
6.479909, True
6.484865, True
6.490382, True
6.497334, True
6.503672, True
6.508044, True
6.514669, True
6.520226, True
6.528258, True
6.533201, True
6.53824, True
6.544821, False
6.549939, False
6.556064, False
6.562884, False
6.568217, False
6.574562, False
6.580993, False
6.58608, False
6.591799, False
6.596845, False
6.602926, False
6.608469, False
6.614365, False
6.620132, False
6.62614, False
6.632106, False
6.637851, False
6.644296, False
6.648988, False
6.654597, False
6.660095, False
6.670996, True
6.675908, True
6.67996, True
6.684659, True
6.689692, True
6.696114, True
6.701739, True
6.708362, True
6.713829, True
6.720185, True
6.726258, True
6.732283, True
6.736323, True
6.741843, True
6.747876, True
6.753141, True
6.759828, True
6.764607, True
6.772424, False
6.779743, False
6.783832, False
6.788789, False
6.79605, False
6.801311, False
6.806449, False
6.812337, False
6.819821, False
6.826549, False
6.832049, False
6.837501, False
6.84384, False
6.848166, False
6.85374, False
6.859874, False
6.865738, False
6.872361, False
6.880198, False
6.884107, False
6.889163, False
6.897376, False
6.903944, False
6.907659, False
6.91234, False
6.920045, False
6.92665, False
6.931926, False
6.937014, False
6.942869, False
6.94813, False
6.953876, False
6.959705, False
6.965034, False
6.972295, False
6.979935, False
6.983755, False
6.98914, False
6.995735, False
7.000679, False
7.006176, False
7.012437, False
7.019917, False
7.026614, False
7.0319, False
7.036072, False
7.04178, False
7.048113, False
7.05341, False
7.05853, False
7.065805, False
7.072131, False
7.080119, False
7.103656, False
7.107749, False
7.112185, False
7.116065, False
7.119778, False
7.125999, False
7.131942, False
7.135804, False
7.139844, False
7.143844, False
7.147741, False
7.151676, False
7.157115, False
7.164089, False
7.168983, False
7.175997, False
7.180453, False
7.185883, False
7.19183, False
7.198282, False
7.203772, False
7.209354, False
7.215982, False
7.22113, False
7.228634, False
7.233847, False
7.239953, False
7.244551, False
7.250196, False
7.25625, False
7.261224, False
7.268522, False
7.275856, False
7.280246, False
7.285637, False
7.291689, False
7.29607, False
7.302171, False
7.308257, False
7.313835, False
7.320042, False
7.32667, False
7.332024, False
7.337718, False
7.344281, False
7.349417, False
7.355842, False
7.360544, False
7.368214, False
7.373933, False
7.38013, False
7.385236, False
7.390909, False
7.397657, False
7.404499, False
7.408466, False
7.415133, False
7.420513, False
7.428384, False
7.432994, False
7.439771, False
7.444091, False
7.449828, False
7.455978, False
7.461116, False
7.4689, False
7.476435, False
7.480918, False
7.485987, False
7.491941, False
7.49838, False
7.503921, False
7.50947, False
7.516184, False
7.520754, False
7.528393, False
7.533513, False
7.539911, False
7.545215, False
7.550312, False
7.555931, False
7.561251, False
7.568548, False
7.575997, False
7.580175, False
7.585522, False
7.591745, False
7.596306, False
7.602447, False
7.608545, False
7.614311, False
7.620607, False
7.627891, False
7.632386, False
7.638353, False
7.644024, False
7.6496, False
7.656157, False
7.662586, False
7.668242, False
7.674618, False
7.680834, False
7.685822, False
7.69188, False
7.696852, False
7.703756, False
7.708932, False
7.71606, False
7.720964, False
7.728043, False
7.732461, False
7.738414, False
7.744094, False
7.749768, False
7.755771, False
7.761104, False
7.768643, False
7.775835, False
7.780197, False
7.785606, False
7.791721, False
7.797869, False
7.803733, False
7.808923, False
7.813925, False
7.819998, False
7.826651, False
7.833188, False
7.838272, False
7.857482, False
7.864648, False
7.872586, False
7.880228, False
7.883729, False
7.887742, False
7.891632, False
7.895816, False
7.899892, False
7.903801, False
7.907707, False
7.911847, False
7.915935, False
7.921011, False
7.928393, False
7.933848, False
7.939816, False
7.94437, False
7.949879, False
7.955891, False
7.961345, False
7.96814, False
7.976089, False
7.980348, False
7.986168, False
7.991912, False
7.998379, False
8.003816, False
8.009404, False
8.016384, False
8.020841, False
8.028177, False
8.032279, False
8.038542, False
8.044029, False
8.051812, False
8.063828, False
8.06806, False
8.071885, False
8.075933, False
8.07992, False
8.085775, False
8.092019, False
8.096605, False
8.101927, False
8.107761, False
8.112491, False
8.120082, False
8.128029, False
8.131815, False
8.137082, False
8.141896, False
8.147992, False
8.152588, False
8.157928, False
8.164881, False
8.172327, False
8.176495, False
8.182076, False
8.187681, False
8.193763, False
8.199796, False
8.203863, False
8.210048, False
8.216423, False
8.223979, False
8.228811, False
8.233724, False
8.239833, False
8.244939, False
8.249809, False
8.255865, False
8.260417, False
8.268254, False
8.276029, False
8.279944, False
8.284432, False
8.289608, False
8.296204, False
8.301132, False
8.306534, False
8.312317, False
8.317646, False
8.324097, False
8.332133, False
8.335938, False
8.341089, False
8.345709, False
8.351758, False
8.356519, False
8.362258, False
8.369006, False
8.375952, False
8.380696, False
8.386098, False
8.391953, False
8.397807, False
8.403778, False
8.408145, False
8.414474, False
8.420464, False
8.427814, False
