t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8189256, x -0.256588, y -9.925633, z 49.00425, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8229954, x -0.299405, y -9.882863, z 49.01265, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.827014, x -0.299405, y -9.882863, z 49.01265, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8309116, x -0.2995099, y -9.797304, z 49.02982, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8349288, x -0.2995099, y -9.797304, z 49.02982, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.838939, x -0.3423559, y -9.754512, z 49.03807, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8429636, x -0.3423559, y -9.754512, z 49.03807, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8469206, x -0.3424743, y -9.668907, z 49.05502, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8509418, x -0.3424743, y -9.668907, z 49.05502, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8549638, x -0.3854802, y -9.540445, z 49.07985, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8587585, x -0.3854802, y -9.540445, z 49.07985, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8630208, x -0.4285268, y -9.411919, z 49.1043, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8669584, x -0.4285268, y -9.411919, z 49.1043, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.87081, x -0.4285983, y -9.369061, z 49.11249, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8752162, x -0.4285983, y -9.369061, z 49.11249, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.878843, x -0.4287403, y -9.283327, z 49.12877, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8830053, x -0.4287403, y -9.283327, z 49.12877, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
