t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
13.5373, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.54151, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.54578, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.5504, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.5549, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.561, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.56503, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.56906, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.57319, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.5771, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.58177, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.58622, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.59066, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.59696, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.60102, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.60507, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.60905, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.61312, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.61753, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.62199, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.62679, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.63339, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.63699, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.64108, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.6449, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.64909, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.65318, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.65789, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.66182, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.66654, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.67358, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.67717, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.68095, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.685, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.68923, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.69322, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.69782, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.70237, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.70684, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.7133, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.71699, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.72105, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.72534, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.72927, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.73396, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.73839, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.74284, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.74929, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.75303, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.75694, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.76118, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.76533, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.76986, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
